date,공급량
2013-01-01 01:00:00,1434.516
2013-01-01 02:00:00,1345.636
2013-01-01 03:00:00,1270.756
2013-01-01 04:00:00,1322.036
2013-01-01 05:00:00,1421.9560000000001
2013-01-01 06:00:00,1360.036
2013-01-01 07:00:00,1352.996
2013-01-01 08:00:00,1461.556
2013-01-01 09:00:00,1613.236
2013-01-01 10:00:00,1741.316
2013-01-01 11:00:00,1816.9160000000002
2013-01-01 12:00:00,1654.276
2013-01-01 13:00:00,1432.116
2013-01-01 14:00:00,1287.7160000000001
2013-01-01 15:00:00,1199.556
2013-01-01 16:00:00,1222.4360000000001
2013-01-01 17:00:00,1338.9160000000004
2013-01-01 18:00:00,1581.316
2013-01-01 19:00:00,1738.596
2013-01-01 20:00:00,1716.116
2013-01-01 21:00:00,1667.7160000000001
2013-01-01 22:00:00,1645.396
2013-01-01 23:00:00,1511.156
2013-01-02 00:00:00,1413.7160000000001
2013-01-02 01:00:00,1291.316
2013-01-02 02:00:00,1176.516
2013-01-02 03:00:00,1144.1960000000001
2013-01-02 04:00:00,1282.356
2013-01-02 05:00:00,1460.996
2013-01-02 06:00:00,1529.636
2013-01-02 07:00:00,1702.116
2013-01-02 08:00:00,1922.516
2013-01-02 09:00:00,1939.556
2013-01-02 10:00:00,1864.836
2013-01-02 11:00:00,1843.156
2013-01-02 12:00:00,1684.276
2013-01-02 13:00:00,1561.076
2013-01-02 14:00:00,1528.4360000000001
2013-01-02 15:00:00,1486.9160000000006
2013-01-02 16:00:00,1503.636
2013-01-02 17:00:00,1633.556
2013-01-02 18:00:00,1916.596
2013-01-02 19:00:00,2108.916
2013-01-02 20:00:00,2153.7960000000007
2013-01-02 21:00:00,2115.396
2013-01-02 22:00:00,2098.436
2013-01-02 23:00:00,1979.796
2013-01-03 00:00:00,1827.876
2013-01-03 01:00:00,1664.996
2013-01-03 02:00:00,1482.756
2013-01-03 03:00:00,1418.036
2013-01-03 04:00:00,1554.036
2013-01-03 05:00:00,1698.116
2013-01-03 06:00:00,1759.316
2013-01-03 07:00:00,1925.9560000000001
2013-01-03 08:00:00,2122.916
2013-01-03 09:00:00,2135.3160000000007
2013-01-03 10:00:00,2012.756
2013-01-03 11:00:00,1974.596
2013-01-03 12:00:00,1751.9560000000001
2013-01-03 13:00:00,1554.356
2013-01-03 14:00:00,1519.396
2013-01-03 15:00:00,1499.7160000000001
2013-01-03 16:00:00,1519.876
2013-01-03 17:00:00,1674.596
2013-01-03 18:00:00,1972.836
2013-01-03 19:00:00,2145.3160000000007
2013-01-03 20:00:00,2186.436
2013-01-03 21:00:00,2168.436
2013-01-03 22:00:00,2115.3160000000007
2013-01-03 23:00:00,2021.556
2013-01-04 00:00:00,1858.356
2013-01-04 01:00:00,1688.276
2013-01-04 02:00:00,1502.996
2013-01-04 03:00:00,1438.756
2013-01-04 04:00:00,1562.516
2013-01-04 05:00:00,1711.156
2013-01-04 06:00:00,1766.4360000000001
2013-01-04 07:00:00,1910.6760000000002
2013-01-04 08:00:00,2121.236
2013-01-04 09:00:00,2155.3160000000007
2013-01-04 10:00:00,2049.236
2013-01-04 11:00:00,1984.9160000000002
2013-01-04 12:00:00,1754.036
2013-01-04 13:00:00,1567.796
2013-01-04 14:00:00,1492.756
2013-01-04 15:00:00,1451.636
2013-01-04 16:00:00,1460.356
2013-01-04 17:00:00,1578.596
2013-01-04 18:00:00,1852.996
2013-01-04 19:00:00,2095.556
2013-01-04 20:00:00,2126.116
2013-01-04 21:00:00,2091.956
2013-01-04 22:00:00,2038.4360000000001
2013-01-04 23:00:00,1954.1960000000001
2013-01-05 00:00:00,1827.876
2013-01-05 01:00:00,1695.316
2013-01-05 02:00:00,1534.516
2013-01-05 03:00:00,1448.836
2013-01-05 04:00:00,1553.556
2013-01-05 05:00:00,1664.516
2013-01-05 06:00:00,1702.6760000000006
2013-01-05 07:00:00,1730.836
2013-01-05 08:00:00,1882.036
2013-01-05 09:00:00,2010.756
2013-01-05 10:00:00,2043.556
2013-01-05 11:00:00,1980.9160000000002
2013-01-05 12:00:00,1770.036
2013-01-05 13:00:00,1576.836
2013-01-05 14:00:00,1475.076
2013-01-05 15:00:00,1432.596
2013-01-05 16:00:00,1472.036
2013-01-05 17:00:00,1576.276
2013-01-05 18:00:00,1803.236
2013-01-05 19:00:00,1946.756
2013-01-05 20:00:00,1935.076
2013-01-05 21:00:00,1846.9160000000002
2013-01-05 22:00:00,1817.9560000000001
2013-01-05 23:00:00,1720.356
2013-01-06 00:00:00,1614.4360000000001
2013-01-06 01:00:00,1501.876
2013-01-06 02:00:00,1334.756
2013-01-06 03:00:00,1286.756
2013-01-06 04:00:00,1396.516
2013-01-06 05:00:00,1525.636
2013-01-06 06:00:00,1525.876
2013-01-06 07:00:00,1538.1960000000001
2013-01-06 08:00:00,1679.156
2013-01-06 09:00:00,1874.356
2013-01-06 10:00:00,1946.9160000000002
2013-01-06 11:00:00,1876.276
2013-01-06 12:00:00,1662.4360000000001
2013-01-06 13:00:00,1498.596
2013-01-06 14:00:00,1399.876
2013-01-06 15:00:00,1351.796
2013-01-06 16:00:00,1380.996
2013-01-06 17:00:00,1511.876
2013-01-06 18:00:00,1772.036
2013-01-06 19:00:00,1943.476
2013-01-06 20:00:00,1921.796
2013-01-06 21:00:00,1821.076
2013-01-06 22:00:00,1794.836
2013-01-06 23:00:00,1706.036
2013-01-07 00:00:00,1587.636
2013-01-07 01:00:00,1428.516
2013-01-07 02:00:00,1288.276
2013-01-07 03:00:00,1237.636
2013-01-07 04:00:00,1376.996
2013-01-07 05:00:00,1504.596
2013-01-07 06:00:00,1564.596
2013-01-07 07:00:00,1712.276
2013-01-07 08:00:00,1909.9560000000001
2013-01-07 09:00:00,1964.1960000000001
2013-01-07 10:00:00,1910.836
2013-01-07 11:00:00,1806.756
2013-01-07 12:00:00,1590.756
2013-01-07 13:00:00,1426.036
2013-01-07 14:00:00,1365.316
2013-01-07 15:00:00,1350.276
2013-01-07 16:00:00,1384.116
2013-01-07 17:00:00,1462.516
2013-01-07 18:00:00,1682.9160000000006
2013-01-07 19:00:00,1883.076
2013-01-07 20:00:00,1965.396
2013-01-07 21:00:00,1913.236
2013-01-07 22:00:00,1877.556
2013-01-07 23:00:00,1774.596
2013-01-08 00:00:00,1634.9160000000006
2013-01-08 01:00:00,1468.1960000000001
2013-01-08 02:00:00,1290.1960000000001
2013-01-08 03:00:00,1227.876
2013-01-08 04:00:00,1352.1960000000001
2013-01-08 05:00:00,1491.396
2013-01-08 06:00:00,1523.7160000000001
2013-01-08 07:00:00,1658.116
2013-01-08 08:00:00,1877.476
2013-01-08 09:00:00,1897.796
2013-01-08 10:00:00,1823.7160000000001
2013-01-08 11:00:00,1743.076
2013-01-08 12:00:00,1501.876
2013-01-08 13:00:00,1337.9560000000001
2013-01-08 14:00:00,1274.036
2013-01-08 15:00:00,1262.9160000000004
2013-01-08 16:00:00,1245.876
2013-01-08 17:00:00,1388.996
2013-01-08 18:00:00,1662.596
2013-01-08 19:00:00,1900.116
2013-01-08 20:00:00,1985.636
2013-01-08 21:00:00,1961.076
2013-01-08 22:00:00,1933.316
2013-01-08 23:00:00,1803.9560000000001
2013-01-09 00:00:00,1669.476
2013-01-09 01:00:00,1502.596
2013-01-09 02:00:00,1334.596
2013-01-09 03:00:00,1273.396
2013-01-09 04:00:00,1408.276
2013-01-09 05:00:00,1534.836
2013-01-09 06:00:00,1559.556
2013-01-09 07:00:00,1712.276
2013-01-09 08:00:00,1939.7160000000001
2013-01-09 09:00:00,1957.156
2013-01-09 10:00:00,1864.4360000000001
2013-01-09 11:00:00,1781.236
2013-01-09 12:00:00,1555.476
2013-01-09 13:00:00,1416.4360000000001
2013-01-09 14:00:00,1362.756
2013-01-09 15:00:00,1328.516
2013-01-09 16:00:00,1348.756
2013-01-09 17:00:00,1486.756
2013-01-09 18:00:00,1792.596
2013-01-09 19:00:00,2051.636
2013-01-09 20:00:00,2085.076
2013-01-09 21:00:00,2018.116
2013-01-09 22:00:00,2011.7160000000001
2013-01-09 23:00:00,1873.9560000000001
2013-01-10 00:00:00,1715.236
2013-01-10 01:00:00,1552.4360000000001
2013-01-10 02:00:00,1370.356
2013-01-10 03:00:00,1324.756
2013-01-10 04:00:00,1438.756
2013-01-10 05:00:00,1590.836
2013-01-10 06:00:00,1637.636
2013-01-10 07:00:00,1780.836
2013-01-10 08:00:00,2009.236
2013-01-10 09:00:00,2044.836
2013-01-10 10:00:00,1921.316
2013-01-10 11:00:00,1778.756
2013-01-10 12:00:00,1579.876
2013-01-10 13:00:00,1438.836
2013-01-10 14:00:00,1371.9560000000001
2013-01-10 15:00:00,1326.516
2013-01-10 16:00:00,1304.756
2013-01-10 17:00:00,1436.036
2013-01-10 18:00:00,1712.756
2013-01-10 19:00:00,1944.6760000000002
2013-01-10 20:00:00,1984.4360000000001
2013-01-10 21:00:00,1966.9160000000002
2013-01-10 22:00:00,1945.396
2013-01-10 23:00:00,1828.596
2013-01-11 00:00:00,1682.4360000000001
2013-01-11 01:00:00,1493.316
2013-01-11 02:00:00,1291.796
2013-01-11 03:00:00,1228.596
2013-01-11 04:00:00,1345.316
2013-01-11 05:00:00,1478.4360000000001
2013-01-11 06:00:00,1502.036
2013-01-11 07:00:00,1658.116
2013-01-11 08:00:00,1882.9160000000002
2013-01-11 09:00:00,1907.316
2013-01-11 10:00:00,1806.516
2013-01-11 11:00:00,1740.1960000000001
2013-01-11 12:00:00,1511.236
2013-01-11 13:00:00,1325.396
2013-01-11 14:00:00,1252.6760000000004
2013-01-11 15:00:00,1242.516
2013-01-11 16:00:00,1219.236
2013-01-11 17:00:00,1339.156
2013-01-11 18:00:00,1582.9160000000006
2013-01-11 19:00:00,1799.796
2013-01-11 20:00:00,1823.156
2013-01-11 21:00:00,1767.9560000000001
2013-01-11 22:00:00,1727.796
2013-01-11 23:00:00,1630.4360000000001
2013-01-12 00:00:00,1514.6760000000006
2013-01-12 01:00:00,1386.596
2013-01-12 02:00:00,1197.236
2013-01-12 03:00:00,1114.276
2013-01-12 04:00:00,1205.556
2013-01-12 05:00:00,1306.596
2013-01-12 06:00:00,1273.396
2013-01-12 07:00:00,1346.356
2013-01-12 08:00:00,1508.6760000000006
2013-01-12 09:00:00,1651.316
2013-01-12 10:00:00,1703.796
2013-01-12 11:00:00,1685.556
2013-01-12 12:00:00,1486.996
2013-01-12 13:00:00,1317.396
2013-01-12 14:00:00,1240.6760000000004
2013-01-12 15:00:00,1201.076
2013-01-12 16:00:00,1175.236
2013-01-12 17:00:00,1250.116
2013-01-12 18:00:00,1429.636
2013-01-12 19:00:00,1590.756
2013-01-12 20:00:00,1600.116
2013-01-12 21:00:00,1532.1960000000001
2013-01-12 22:00:00,1535.396
2013-01-12 23:00:00,1457.556
2013-01-13 00:00:00,1360.4360000000001
2013-01-13 01:00:00,1247.076
2013-01-13 02:00:00,1081.236
2013-01-13 03:00:00,1027.556
2013-01-13 04:00:00,1121.876
2013-01-13 05:00:00,1227.636
2013-01-13 06:00:00,1213.7160000000001
2013-01-13 07:00:00,1243.316
2013-01-13 08:00:00,1395.316
2013-01-13 09:00:00,1566.516
2013-01-13 10:00:00,1640.996
2013-01-13 11:00:00,1638.4360000000001
2013-01-13 12:00:00,1411.556
2013-01-13 13:00:00,1284.036
2013-01-13 14:00:00,1206.9160000000004
2013-01-13 15:00:00,1176.996
2013-01-13 16:00:00,1166.116
2013-01-13 17:00:00,1265.316
2013-01-13 18:00:00,1480.4360000000001
2013-01-13 19:00:00,1671.076
2013-01-13 20:00:00,1654.756
2013-01-13 21:00:00,1539.796
2013-01-13 22:00:00,1513.556
2013-01-13 23:00:00,1426.6760000000006
2013-01-14 00:00:00,1342.276
2013-01-14 01:00:00,1179.156
